st. nr.         grade
s1000061        O
s1000505        O
s1000794        O
s1000796        O
s1003489        O
s1003539        O
s1005618        O
s1005649        O
s1005864        O
s1006274        O
s1006479        O
s1006596        O
s1006954        O
s1007344        O
s1007478        O
s1007567        O
s1007619        O
s1009466        O
s1009779        O
s1009789        O
s1009854        O
s1009955        O
s1009995        O
s1010048        O
s1010080        O
s1010311        O
s1010823        O
s1010919        O
s1011063        O
s1011118        O
s1011178        O
s1011326        O
s1011387        O
s1011532        O
s1011542        O
s1011825        O
s1012014        O
s1012212        O
s1013414        O
s1013624        O
s1013787        O
s1014043        O
s1014417        O
s1023095        O
s1023781        O
s1026034        O
s1027051        O
s1027255        O
s1030556        O
s1031269        O
s1031312        O
s1031602        O
s1031835        O
s1031887        G
s1032053        O
s4068246        O
s4104145        O
s4308905        O
s4320514        O
s4335422        O
s4347420        O
s4360117        O
s4425960        O
s4431340        O
s4447093        O
s4474317        O
s4475712        O
s4518780        O
s4556429        O
s4557816        O
s4573560        O
s4574176        O
s4577353        G
s4589289        O
s4597516        O
s4598903        O
s4602404        O
s4622332        O
s4626249        O
s4626591        O
s4634098        O
s4641493        O
s4666623        O
s4681533        O
s4720814        O
s4766423        O
s4768116        O
s4771192        O
s4771826        O
s4782690        O
s4791835        O
s4794443        O
s4810732        O
s4840933        O
